"testtype","mincriterion","minsplit","minbucket","maxdepth","N1","N0","Time","Term","N","err","idx","err_all","min_idx","real_error"
"Teststatistic",0.9,60,5,5,716,157,14.256,1630,98,0.1798,95,0.1627,18,
"Teststatistic",0.95,20,5,5,716,157,15.099,1849,98,0.1798,96,0.1627,18,
"Teststatistic",0.95,40,5,5,716,157,15.251,1732,98,0.1798,97,0.1627,18,
"Teststatistic",0.95,60,5,0,716,157,15.313,2048,98,0.1798,98,0.1526,94,
"Teststatistic",0.95,60,5,5,716,157,13.762,1630,98,0.1798,99,0.1627,18,
"Teststatistic",0.99,20,5,5,716,157,15.331,1849,98,0.1798,100,0.1627,18,
"Teststatistic",0.99,40,5,5,716,157,15.199,1732,98,0.1798,101,0.1627,18,
"Teststatistic",0.99,60,5,0,716,157,15.137,2032,98,0.1798,102,0.1526,94,
"Teststatistic",0.99,60,5,5,716,157,13.767,1630,98,0.1798,103,0.1627,18,
"Teststatistic",0.9,20,5,0,715,158,20.325,2965,98,0.181,104,0.1459,104,
"Teststatistic",0.9,20,5,4,715,158,13.97,1381,98,0.181,105,0.1627,18,
"Univariate",0.9,10,5,4,685,152,12.915,1106,94,0.1816,106,0.1762,52,
"Univariate",0.9,20,5,4,685,152,12.419,1021,94,0.1816,107,0.1762,52,
"Univariate",0.9,20,10,0,685,152,12.641,1118,94,0.1816,108,0.165,1,
"Univariate",0.9,20,10,6,685,152,12.831,1118,94,0.1816,109,0.165,1,
"Univariate",0.9,40,5,4,685,152,12.298,928,94,0.1816,110,0.1762,52,
"Univariate",0.9,40,10,0,685,152,12.083,1025,94,0.1816,111,0.165,1,
"Univariate",0.9,40,10,6,685,152,12.668,1025,94,0.1816,112,0.165,1,
"Univariate",0.9,60,5,4,685,152,11.414,844,94,0.1816,113,0.1762,52,
"Bonferroni",0.95,10,5,0,729,162,11.638,585,100,0.1818,114,0.1762,52,
"Bonferroni",0.95,10,5,5,729,162,11.774,585,100,0.1818,115,0.1762,52,
"Bonferroni",0.95,10,5,6,729,162,12.327,585,100,0.1818,116,0.1762,52,
"Bonferroni",0.95,20,5,0,729,162,11.46,585,100,0.1818,117,0.1762,52,
"Bonferroni",0.95,20,5,5,729,162,11.923,585,100,0.1818,118,0.1762,52,
"Bonferroni",0.95,20,5,6,729,162,12.038,585,100,0.1818,119,0.1762,52,
"Bonferroni",0.95,40,5,0,729,162,11.281,582,100,0.1818,120,0.1762,52,
"Bonferroni",0.95,40,5,5,729,162,11.341,582,100,0.1818,121,0.1762,52,
"Bonferroni",0.95,40,5,6,729,162,10.868,582,100,0.1818,122,0.1762,52,
"Bonferroni",0.95,60,5,0,729,162,11.414,582,100,0.1818,123,0.1762,52,
"Bonferroni",0.95,60,5,5,729,162,11.848,582,100,0.1818,124,0.1762,52,
"Bonferroni",0.95,60,5,6,729,162,12.183,582,100,0.1818,125,0.1762,52,
"Teststatistic",0.9,20,5,6,714,159,17.587,2435,98,0.1821,126,0.1538,126,
"Teststatistic",0.9,20,10,0,714,159,18.714,2455,98,0.1821,127,0.1538,126,
"Teststatistic",0.9,40,5,4,714,159,13.751,1268,98,0.1821,128,0.1627,18,
"Teststatistic",0.9,40,10,0,714,159,17.522,2255,98,0.1821,129,0.1538,126,
"Teststatistic",0.9,60,5,4,714,159,13.319,1177,98,0.1821,130,0.1627,18,
"Teststatistic",0.95,20,5,4,714,159,14.594,1379,98,0.1821,131,0.1627,18,
"Teststatistic",0.95,20,10,0,714,159,18.062,2422,98,0.1821,132,0.1538,126,
"Teststatistic",0.95,40,5,4,714,159,13.552,1268,98,0.1821,133,0.1627,18,
"Teststatistic",0.95,40,10,0,714,159,16.23,2222,98,0.1821,134,0.1538,126,
"Teststatistic",0.95,60,5,4,714,159,13.06,1177,98,0.1821,135,0.1627,18,
"Teststatistic",0.99,20,5,4,714,159,13.722,1379,98,0.1821,136,0.1627,18,
"Teststatistic",0.99,20,10,0,714,159,17.58,2406,98,0.1821,137,0.1538,126,
"Teststatistic",0.99,40,5,4,714,159,13.548,1268,98,0.1821,138,0.1627,18,
"Teststatistic",0.99,40,10,0,714,159,15.938,2206,98,0.1821,139,0.1538,126,
"Teststatistic",0.99,60,5,4,714,159,13.266,1177,98,0.1821,140,0.1627,18,
"Teststatistic",0.9,40,5,6,713,160,15.515,2120,98,0.1833,141,0.1538,126,
"Teststatistic",0.95,20,5,0,713,160,19.743,2928,98,0.1833,142,0.1459,104,
"Teststatistic",0.95,20,5,6,713,160,16.661,2432,98,0.1833,143,0.1538,126,
"Teststatistic",0.95,40,5,6,713,160,16.416,2119,98,0.1833,144,0.1538,126,
"Teststatistic",0.99,20,5,0,713,160,19.452,2907,98,0.1833,145,0.1459,104,
"Teststatistic",0.99,20,5,6,713,160,17.645,2432,98,0.1833,146,0.1538,126,
"Teststatistic",0.99,40,5,6,713,160,16.493,2119,98,0.1833,147,0.1538,126,
"Bonferroni",0.95,20,10,4,727,164,11.329,584,100,0.1841,148,0.1762,52,
"Bonferroni",0.95,40,10,4,727,164,11.465,581,100,0.1841,149,0.1762,52,
"Bonferroni",0.95,40,20,0,727,164,10.86,510,100,0.1841,150,0.1762,52,
"Bonferroni",0.95,40,20,4,727,164,11.578,510,100,0.1841,151,0.1762,52,
"Bonferroni",0.95,40,20,5,727,164,11.758,510,100,0.1841,152,0.1762,52,
"Bonferroni",0.95,40,20,6,727,164,11.332,510,100,0.1841,153,0.1762,52,
"Bonferroni",0.95,40,30,0,727,164,11.736,509,100,0.1841,154,0.1762,52,
"Bonferroni",0.95,40,30,4,727,164,11.822,509,100,0.1841,155,0.1762,52,
"Bonferroni",0.95,40,30,5,727,164,11.473,509,100,0.1841,156,0.1762,52,
"Bonferroni",0.95,40,30,6,727,164,11.793,509,100,0.1841,157,0.1762,52,
"Bonferroni",0.95,60,10,4,727,164,11.55,581,100,0.1841,158,0.1762,52,
"Bonferroni",0.95,60,20,0,727,164,11.782,510,100,0.1841,159,0.1762,52,
"Bonferroni",0.95,60,20,4,727,164,11.553,510,100,0.1841,160,0.1762,52,
"Bonferroni",0.95,60,20,5,727,164,12.11,510,100,0.1841,161,0.1762,52,
"Bonferroni",0.95,60,20,6,727,164,11.391,510,100,0.1841,162,0.1762,52,
"Bonferroni",0.95,60,30,0,727,164,11.71,509,100,0.1841,163,0.1762,52,
"Bonferroni",0.95,60,30,4,727,164,11.665,509,100,0.1841,164,0.1762,52,
"Bonferroni",0.95,60,30,5,727,164,11.434,509,100,0.1841,165,0.1762,52,
"Bonferroni",0.95,60,30,6,727,164,11.578,509,100,0.1841,166,0.1762,52,
"Bonferroni",0.99,20,10,0,727,164,11.855,504,100,0.1841,167,0.1762,52,
"Bonferroni",0.99,20,10,4,727,164,11.2,504,100,0.1841,168,0.1762,52,
"Bonferroni",0.99,20,10,5,727,164,11.178,504,100,0.1841,169,0.1762,52,
"Bonferroni",0.99,20,10,6,727,164,11.15,504,100,0.1841,170,0.1762,52,
"Bonferroni",0.99,40,10,0,727,164,11.354,504,100,0.1841,171,0.1762,52,
"Bonferroni",0.99,40,10,4,727,164,11.675,504,100,0.1841,172,0.1762,52,
"Bonferroni",0.99,40,10,5,727,164,11.196,504,100,0.1841,173,0.1762,52,
"Bonferroni",0.99,40,10,6,727,164,11.133,504,100,0.1841,174,0.1762,52,
"Bonferroni",0.99,40,20,0,727,164,11.525,504,100,0.1841,175,0.1762,52,
"Bonferroni",0.99,40,20,4,727,164,11.797,504,100,0.1841,176,0.1762,52,
"Bonferroni",0.99,40,20,5,727,164,11.35,504,100,0.1841,177,0.1762,52,
"Bonferroni",0.99,40,20,6,727,164,11.165,504,100,0.1841,178,0.1762,52,
"Bonferroni",0.99,40,30,0,727,164,11.368,504,100,0.1841,179,0.1762,52,
"Bonferroni",0.99,40,30,4,727,164,11.28,504,100,0.1841,180,0.1762,52,
"Bonferroni",0.99,40,30,5,727,164,11.572,504,100,0.1841,181,0.1762,52,
"Bonferroni",0.99,40,30,6,727,164,11.221,504,100,0.1841,182,0.1762,52,
"Bonferroni",0.99,60,10,0,727,164,11.355,504,100,0.1841,183,0.1762,52,
"Bonferroni",0.99,60,10,4,727,164,11.433,504,100,0.1841,184,0.1762,52,
"Bonferroni",0.99,60,10,5,727,164,11.342,504,100,0.1841,185,0.1762,52,
"Bonferroni",0.99,60,10,6,727,164,11.044,504,100,0.1841,186,0.1762,52,
"Bonferroni",0.99,60,20,0,727,164,11.012,504,100,0.1841,187,0.1762,52,
"Bonferroni",0.99,60,20,4,727,164,11.551,504,100,0.1841,188,0.1762,52,
"Bonferroni",0.99,60,20,5,727,164,11.38,504,100,0.1841,189,0.1762,52,
"Bonferroni",0.99,60,20,6,727,164,11.207,504,100,0.1841,190,0.1762,52,
"Bonferroni",0.99,60,30,0,727,164,11.373,504,100,0.1841,191,0.1762,52,
"Bonferroni",0.99,60,30,4,727,164,11.184,504,100,0.1841,192,0.1762,52,
"Bonferroni",0.99,60,30,5,727,164,11.803,504,100,0.1841,193,0.1762,52,
"Bonferroni",0.99,60,30,6,727,164,11.734,504,100,0.1841,194,0.1762,52,
"Univariate",0.99,20,10,4,726,165,11.923,605,100,0.1852,195,0.1762,52,
"Univariate",0.99,40,10,4,726,165,11.808,602,100,0.1852,196,0.1762,52,
"Univariate",0.99,60,10,4,726,165,12.229,602,100,0.1852,197,0.1762,52,
"Bonferroni",0.95,20,10,0,725,166,11.268,586,100,0.1863,198,0.1762,52,
"Bonferroni",0.95,20,10,5,725,166,11.148,586,100,0.1863,199,0.1762,52,
"Bonferroni",0.95,20,10,6,725,166,11.693,586,100,0.1863,200,0.1762,52,
"Bonferroni",0.95,40,10,0,725,166,11.325,583,100,0.1863,201,0.1762,52,
"Bonferroni",0.95,40,10,5,725,166,11.84,583,100,0.1863,202,0.1762,52,
"Bonferroni",0.95,40,10,6,725,166,11.121,583,100,0.1863,203,0.1762,52,
"Bonferroni",0.95,60,10,0,725,166,11.748,583,100,0.1863,204,0.1762,52,
"Bonferroni",0.95,60,10,5,725,166,11.408,583,100,0.1863,205,0.1762,52,
"Bonferroni",0.95,60,10,6,725,166,11.429,583,100,0.1863,206,0.1762,52,
"Teststatistic",0.9,10,5,5,710,163,15.944,2050,98,0.1867,207,0.1627,18,
"Teststatistic",0.9,60,5,6,710,163,14.375,1833,98,0.1867,208,0.1571,208,
"Teststatistic",0.9,60,10,0,710,163,15.405,1979,98,0.1867,209,0.1571,208,
"Teststatistic",0.95,60,5,6,710,163,14.783,1833,98,0.1867,210,0.1571,208,
"Teststatistic",0.95,60,10,0,710,163,15.478,1946,98,0.1867,211,0.1571,208,
"Teststatistic",0.99,60,5,6,710,163,15.892,1833,98,0.1867,212,0.1571,208,
"Teststatistic",0.99,60,10,0,710,163,14.7,1930,98,0.1867,213,0.1571,208,
"Univariate",0.95,20,10,4,710,163,11.613,724,98,0.1867,214,0.1762,52,
"Univariate",0.95,40,10,4,710,163,11.336,627,98,0.1867,215,0.1762,52,
"Univariate",0.95,60,10,4,710,163,11.692,627,98,0.1867,216,0.1762,52,
"Teststatistic",0.9,10,5,4,709,164,13.757,1389,98,0.1879,217,0.1627,18,
"Teststatistic",0.9,20,10,5,709,164,15.596,1823,98,0.1879,218,0.1639,218,
"Teststatistic",0.9,20,10,6,709,164,16.622,2290,98,0.1879,219,0.1538,126,
"Teststatistic",0.9,40,10,5,709,164,14.629,1725,98,0.1879,220,0.1639,218,
"Teststatistic",0.9,40,10,6,709,164,16.162,2094,98,0.1879,221,0.1538,126,
"Teststatistic",0.9,60,10,5,709,164,13.776,1627,98,0.1879,222,0.1639,218,
"Teststatistic",0.95,10,5,5,709,164,16.222,2048,98,0.1879,223,0.1627,18,
"Teststatistic",0.95,20,10,5,709,164,15.717,1823,98,0.1879,224,0.1639,218,
"Teststatistic",0.95,20,10,6,709,164,16.819,2290,98,0.1879,225,0.1538,126,
"Teststatistic",0.95,40,10,5,709,164,14.964,1725,98,0.1879,226,0.1639,218,
"Teststatistic",0.95,40,10,6,709,164,15.536,2094,98,0.1879,227,0.1538,126,
