"kernel","C","p1","p2","error","cross","numSV","obj_f","time.elapsed","real_error"
"polydot",10,2,0,0.11,0.196,333,-2046.578,74.559,
"tanhdot",1000,0.0001,-2.4,0.194,0.196,684,-568729.39,10.72,
"tanhdot",100,0.0001,-1.2,0.194,0.196,686,-57534.891,9.245,
"tanhdot",1000,0.0001,-1.2,0.187,0.196,438,-396960.91,10.6,
"tanhdot",1000,0.0001,1.2,0.187,0.197,440,-397313.651,8.522,
"tanhdot",1,0.01,-1.2,0.195,0.197,685,-566.696,13.498,
"rbfdot",100,0.1,,0.101,0.197,383,-20357.429,12.802,
"tanhdot",1000,0.00001,1.2,0.194,0.197,686,-575695.418,12.671,
"tanhdot",1,0.1,-1.8,0.196,0.198,439,-421.794,6.93,
"tanhdot",100,0.0001,1.2,0.194,0.198,686,-57551.941,13.265,
"polydot",0.1,3,0,0.102,0.198,381,-20.688,13.784,
"tanhdot",1000,0.0001,2.4,0.194,0.198,685,-568887.106,9.271,
"tanhdot",10000,0.00001,1.2,0.187,0.198,443,-3972241.925,7.895,
"tanhdot",100,0.001,-1.2,0.19,0.198,440,-39545.198,10.495,
"polydot",1,3,1,0.1,0.198,368,-181.108,25.742,0.737
"tanhdot",100,0.001,2.4,0.194,0.199,686,-56982.328,14.021,
"tanhdot",100,0.001,1.2,0.189,0.199,442,-39904.506,10.54,
"polydot",10,3,1,0.1,0.199,368,-1783.108,15.744,
"polydot",0.1,3,1,0.102,0.199,376,-20.407,13.669,
"rbfdot",10,0.001,,0.196,0.199,470,-4123.506,11.034,
"polydot",10,2,1,0.11,0.199,342,-2044.605,77.259,
"polydot",100,2,0,0.109,0.199,336,-19998.663,464.844,
"tanhdot",10,0.001,1.2,0.194,0.2,686,-5762.922,10.396,
"tanhdot",10000,0.00001,-2.4,0.194,0.2,683,-5685482.422,8.646,
"tanhdot",100,0.1,-2.4,0.166,0.2,319,-161719.858,6.047,
"tanhdot",10,0.01,0.6,0.193,0.2,406,-4031.853,7.127,
"polydot",0.01,5,0,0.1,0.201,402,-1.804,11.726,
"rbfdot",10000,0.01,,0.11,0.201,371,-2102041.396,99.818,
"tanhdot",10,0.1,-2.4,0.184,0.201,376,-4494.728,9.806,
"rbfdot",100000,0.01,,0.1,0.201,349,-18709601.659,242.909,
"polydot",100,3,1,0.1,0.201,368,-17803.108,16.402,
"polydot",0.1,5,0,0.1,0.201,402,-17.824,8.174,
"polydot",10,5,0,0.1,0.201,399,-1780.024,11.695,
"polydot",100,5,0,0.1,0.201,401,-17800.024,9.442,
"tanhdot",1,0.01,1.2,0.195,0.202,685,-583.55,13.949,
"tanhdot",10,0.01,2.4,0.198,0.202,685,-5786.878,13.286,
"polydot",10,3,0,0.1,0.202,370,-1783.528,24.322,
"polydot",1,3,0,0.1,0.202,370,-181.528,24.082,
"polydot",100,2,1,0.109,0.202,338,-19996.378,481.954,
"rbfdot",100000,0.1,,0.1,0.202,370,-17802835.275,16.912,
"rbfdot",100,0.0001,,0.196,0.202,469,-41389.877,11.048,
"rbfdot",1,1,,0.102,0.202,537,-316.855,11.235,
"tanhdot",10,0.01,-2.4,0.202,0.203,678,-5578.749,9.297,
